ID,First_Name,Birth_Year,Gender,Total_Named
0,Emma,2014,F,20799
1,Olivia,2014,F,19674
2,Sophia,2014,F,18490
3,Isabella,2014,F,16950
4,Ava,2014,F,15586
5,Mia,2014,F,13442
6,Emily,2014,F,12562
7,Abigail,2014,F,11985
8,Madison,2014,F,10247
9,Charlotte,2014,F,10048
10,Harper,2014,F,9564
11,Sofia,2014,F,9542
12,Avery,2014,F,9517
13,Elizabeth,2014,F,9492
14,Amelia,2014,F,8727
15,Evelyn,2014,F,8692
16,Ella,2014,F,8489
17,Chloe,2014,F,8469
18,Victoria,2014,F,7955
19,Aubrey,2014,F,7589
20,Grace,2014,F,7554
21,Zoey,2014,F,7358
22,Natalie,2014,F,7061
23,Addison,2014,F,6950
24,Lillian,2014,F,6869
25,Brooklyn,2014,F,6767
26,Lily,2014,F,6727
27,Hannah,2014,F,6512
28,Layla,2014,F,6428
29,Scarlett,2014,F,5965
30,Aria,2014,F,5893
31,Zoe,2014,F,5828
32,Samantha,2014,F,5680
33,Anna,2014,F,5639
34,Leah,2014,F,5563
35,Audrey,2014,F,5531
36,Ariana,2014,F,5461
37,Allison,2014,F,5440
38,Savannah,2014,F,5433
39,Arianna,2014,F,5240
40,Camila,2014,F,5194
41,Penelope,2014,F,5062
42,Gabriella,2014,F,5051
43,Claire,2014,F,4991
44,Aaliyah,2014,F,4850
45,Sadie,2014,F,4823
46,Riley,2014,F,4761
47,Skylar,2014,F,4732
48,Nora,2014,F,4708
49,Sarah,2014,F,4647
50,Hailey,2014,F,4595
51,Kaylee,2014,F,4513
52,Paisley,2014,F,4473
53,Kennedy,2014,F,4459
54,Ellie,2014,F,4442
55,Peyton,2014,F,4426
56,Annabelle,2014,F,4324
57,Caroline,2014,F,4307
58,Madelyn,2014,F,4289
59,Serenity,2014,F,4284
60,Aubree,2014,F,4258
61,Lucy,2014,F,4257
62,Alexa,2014,F,4227
63,Alexis,2014,F,4188
64,Nevaeh,2014,F,4188
65,Stella,2014,F,4165
66,Violet,2014,F,4156
67,Genesis,2014,F,4144
68,Mackenzie,2014,F,4122
69,Bella,2014,F,4050
70,Autumn,2014,F,4034
71,Mila,2014,F,4033
72,Kylie,2014,F,3928
73,Maya,2014,F,3904
74,Piper,2014,F,3840
75,Alyssa,2014,F,3798
76,Taylor,2014,F,3782
77,Eleanor,2014,F,3704
78,Melanie,2014,F,3681
79,Naomi,2014,F,3677
80,Faith,2014,F,3664
81,Eva,2014,F,3651
82,Katherine,2014,F,3651
83,Lydia,2014,F,3609
84,Brianna,2014,F,3582
85,Julia,2014,F,3578
86,Ashley,2014,F,3539
87,Khloe,2014,F,3518
88,Madeline,2014,F,3409
89,Ruby,2014,F,3383
90,Sophie,2014,F,3364
91,Alexandra,2014,F,3288
92,London,2014,F,3264
93,Lauren,2014,F,3072
94,Gianna,2014,F,3061
95,Isabelle,2014,F,3044
96,Alice,2014,F,3042
97,Vivian,2014,F,3040
98,Hadley,2014,F,2992
99,Jasmine,2014,F,2988
100,Morgan,2014,F,2984
101,Kayla,2014,F,2982
102,Cora,2014,F,2945
103,Bailey,2014,F,2929
104,Kimberly,2014,F,2883
105,Reagan,2014,F,2882
106,Hazel,2014,F,2877
107,Clara,2014,F,2833
108,Sydney,2014,F,2831
109,Trinity,2014,F,2781
110,Natalia,2014,F,2778
111,Valentina,2014,F,2769
112,Rylee,2014,F,2753
113,Jocelyn,2014,F,2744
114,Maria,2014,F,2740
115,Aurora,2014,F,2718
116,Eliana,2014,F,2708
117,Brielle,2014,F,2638
118,Liliana,2014,F,2624
119,Mary,2014,F,2611
120,Elena,2014,F,2598
121,Molly,2014,F,2578
122,Makayla,2014,F,2559
123,Lilly,2014,F,2550
124,Andrea,2014,F,2543
125,Quinn,2014,F,2539
126,Jordyn,2014,F,2533
127,Adalynn,2014,F,2512
128,Nicole,2014,F,2511
